t+pazolite - Chartreuse Green
BPM,120.00
note_type,time,lane,duration
slide,3.125,L,2.364
slide,8.000,L,0.234
slide,9.000,L,2.050
hold,11.000,2,2.306
slide,13.625,R,0.692
slide,14.875,L,2.835
tap,17.625,1,
tap,18.000,1,
hold,18.375,1,0.151
hold,19.625,2,0.167
tap,20.375,2,
tap,21.625,2,
tap,22.000,2,
tap,22.625,1,
slide,24.250,L,2.014
hold,24.500,4,2.006
hold,26.750,1,2.307
slide,29.875,R,2.552
tap,30.000,3,
hold,31.000,4,0.264
tap,32.250,3,
tap,33.750,3,
hold,34.375,1,0.150
tap,34.625,4,
tap,35.000,3,
tap,35.375,3,
tap,36.000,3,
slide,37.750,L,1.786
hold,40.250,1,0.184
tap,40.625,3,
hold,40.875,2,0.165
tap,41.250,3,
tap,43.000,4,
hold,43.250,4,0.166
tap,43.625,1,
hold,44.000,3,0.167
tap,44.750,2,
hold,45.625,1,1.336
tap,48.375,3,
hold,48.750,4,0.151
tap,49.625,1,
hold,51.000,2,0.182
hold,51.625,3,0.180
tap,52.375,1,
hold,52.625,4,0.164
hold,53.000,2,0.183
hold,53.750,4,0.331
hold,55.000,4,2.344
tap,56.375,1,
hold,57.000,2,0.164
hold,57.750,3,0.183
hold,58.000,2,0.178
tap,58.375,3,
hold,58.625,1,0.151
hold,59.875,4,0.166
tap,60.000,2,
tap,61.000,1,
hold,61.750,1,0.166
tap,62.625,1,
tap,62.875,1,
tap,63.125,3,
tap,64.000,2,
tap,64.500,4,
tap,64.500,2,
hold,65.625,1,0.184
hold,65.625,4,0.167
tap,66.625,3,
tap,67.000,2,
tap,67.625,2,
hold,68.375,4,0.163
hold,69.375,1,0.163
tap,69.375,3,
hold,71.000,4,0.167
hold,71.750,2,0.153
tap,72.000,3,
tap,73.000,1,
tap,73.625,4,
tap,74.250,1,
tap,74.250,3,
tap,75.000,4,
tap,75.625,1,
tap,76.000,3,
tap,76.250,2,
hold,76.625,4,0.168
hold,77.750,3,2.015
hold,77.750,2,2.015
hold,81.875,3,1.114
slide,84.250,L,1.327
slide,86.250,R,1.826
slide,89.625,R,1.431
hold,91.750,2,1.620
slide,93.625,R,1.548
tap,93.875,1,
tap,94.625,1,
tap,95.250,1,
tap,96.250,1,
tap,96.625,1,
tap,97.000,1,
tap,97.375,1,
tap,97.750,1,
tap,98.125,2,
tap,98.500,3,
hold,99.000,2,0.166
tap,99.625,4,
tap,100.000,1,
tap,100.250,3,
tap,100.500,2,
tap,101.625,3,
tap,102.875,1,
tap,103.250,3,
tap,103.500,2,
tap,104.875,4,
tap,105.625,1,
tap,106.375,1,
tap,107.250,1,
tap,108.250,3,
hold,108.625,2,0.164
tap,109.000,3,
tap,109.250,1,
tap,110.375,4,
tap,111.000,1,
slide,112.125,R,5.203
hold,114.125,2,0.150
tap,115.000,2,
hold,115.750,2,0.164
tap,116.375,2,
hold,117.125,2,0.212
tap,118.000,2,
slide,119.000,R,1.026
tap,119.125,1,
hold,120.250,1,0.151
tap,121.625,2,
tap,123.000,1,
hold,123.625,3,0.597
tap,125.000,1,
tap,125.250,4,
tap,125.625,2,
hold,126.875,1,0.977
tap,127.125,3,
tap,127.750,3,
slide,128.125,L,1.291
slide,129.625,R,0.770
tap,131.000,2,
tap,131.000,1,
