t+pazolite - Chartreuse Green
BPM,120.00
note_type,time,lane,duration
hold,3.000,1,2.348
hold,5.625,2,2.261
hold,8.250,4,2.095
hold,10.875,3,2.399
tap,13.625,1,
tap,14.000,1,
hold,14.250,3,0.202
tap,14.625,3,
hold,15.000,2,0.153
hold,15.375,2,0.150
hold,15.750,2,0.165
tap,16.625,3,
tap,17.000,3,
tap,17.250,3,
tap,17.875,4,
tap,18.625,4,
tap,19.000,1,
hold,19.250,4,0.216
hold,19.625,2,0.184
tap,19.625,1,
hold,19.875,3,0.166
hold,20.125,2,0.199
tap,20.625,3,
tap,21.000,3,
hold,21.250,3,0.150
hold,21.625,1,0.164
hold,21.875,1,0.167
tap,21.875,4,
hold,22.250,2,0.153
tap,22.625,2,
tap,23.000,2,
tap,23.000,4,
hold,23.250,2,0.167
hold,23.625,2,0.166
slide,24.125,R,3.135
tap,26.000,1,
tap,26.750,1,
tap,27.750,2,
slide,28.000,L,0.113
slide,28.625,L,0.130
tap,28.875,2,
slide,29.250,L,0.100
slide,29.875,L,1.107
hold,30.000,2,0.179
hold,30.250,2,0.169
hold,30.625,2,0.166
tap,31.000,2,
tap,31.375,2,
hold,31.625,2,0.183
tap,32.000,4,
hold,32.375,1,0.181
hold,32.625,3,0.165
tap,33.000,4,
hold,33.250,2,0.183
hold,33.500,2,1.284
tap,35.000,3,
tap,35.375,3,
tap,35.625,3,
hold,35.875,1,0.152
hold,36.125,4,0.166
tap,36.250,1,
tap,36.625,1,
tap,36.875,1,
tap,36.875,4,
hold,37.250,1,0.151
tap,37.625,1,
tap,37.750,4,
hold,38.000,3,1.054
tap,38.625,4,
hold,39.125,1,0.216
hold,39.375,1,0.166
tap,39.625,1,
hold,40.000,1,1.724
hold,40.375,3,0.179
tap,40.375,4,
hold,40.750,3,0.151
hold,41.000,3,0.166
tap,41.375,3,
hold,42.250,2,0.167
tap,42.625,2,
tap,42.875,4,
hold,43.000,2,0.165
hold,43.250,2,0.184
hold,43.625,2,0.188
tap,43.625,4,
hold,44.000,2,0.166
hold,44.250,1,0.200
hold,44.500,4,0.183
hold,44.750,2,0.167
hold,45.000,3,0.182
hold,45.125,2,0.167
tap,45.500,2,
hold,45.750,4,1.589
hold,46.625,1,0.166
hold,47.875,1,0.168
hold,48.375,1,0.151
hold,48.625,3,0.185
hold,49.000,2,0.182
hold,49.250,4,0.202
hold,49.625,2,0.167
hold,50.000,3,0.152
hold,50.250,2,0.167
hold,50.625,3,0.183
hold,51.000,2,0.197
hold,51.250,1,0.163
tap,51.250,4,
hold,51.625,1,0.200
hold,52.000,1,0.165
hold,52.250,1,0.185
tap,52.625,1,
hold,53.000,2,0.183
tap,53.375,2,
tap,53.625,1,
hold,53.750,3,0.197
hold,54.000,4,0.183
hold,54.375,2,0.181
hold,54.500,1,0.219
hold,54.875,4,0.164
tap,55.000,2,
hold,55.250,3,4.282
hold,56.000,1,0.167
tap,56.375,1,
tap,56.750,1,
tap,57.000,1,
tap,57.375,2,
tap,57.750,2,
tap,58.000,2,
hold,58.250,1,0.183
tap,58.625,2,
tap,59.000,1,
tap,59.375,1,
hold,59.625,1,2.028
hold,60.000,3,0.181
hold,60.375,3,0.182
hold,60.625,3,0.181
hold,61.000,3,0.180
hold,61.375,3,0.202
hold,61.750,4,0.199
hold,62.125,4,0.166
hold,62.500,4,2.434
tap,63.125,3,
hold,63.375,1,0.166
tap,63.750,1,
tap,64.000,1,
tap,64.375,1,
tap,64.625,1,
tap,65.125,2,
hold,65.250,3,0.181
hold,65.375,2,0.165
hold,65.500,4,0.247
tap,65.750,1,
tap,66.000,3,
tap,66.250,2,
tap,66.500,4,
hold,67.625,4,0.153
tap,67.625,3,
tap,67.750,4,
hold,68.000,4,0.165
tap,68.000,3,
hold,68.250,4,0.167
tap,68.250,2,
hold,68.625,4,0.152
tap,69.000,4,
tap,69.125,2,
hold,69.250,4,0.169
hold,69.625,1,0.166
tap,69.875,1,
tap,70.250,1,
tap,70.250,3,
hold,70.500,1,0.168
tap,70.750,3,
tap,70.875,1,
hold,71.125,1,0.182
hold,71.500,3,0.164
hold,71.750,2,0.181
tap,72.000,3,
hold,72.125,2,0.182
hold,72.375,3,0.170
tap,72.500,1,
hold,72.625,2,0.166
tap,72.625,4,
tap,72.750,3,
tap,73.000,2,
tap,73.125,3,
tap,73.250,2,
hold,73.375,3,0.168
hold,73.500,2,0.166
hold,73.625,3,0.164
hold,73.875,2,0.167
tap,73.875,1,
tap,74.000,3,
hold,74.125,2,0.150
tap,74.250,4,
hold,74.375,3,0.151
hold,74.500,2,0.182
tap,74.625,3,
hold,74.875,2,0.165
hold,75.000,3,0.152
hold,75.250,1,2.342
tap,76.000,2,
tap,76.250,2,
tap,76.625,2,
tap,76.875,2,
tap,77.250,2,
tap,77.500,2,
hold,77.625,3,2.675
tap,80.250,2,
hold,80.375,1,2.198
slide,82.875,L,1.582
tap,85.000,2,
slide,85.500,L,1.011
slide,86.875,L,0.959
tap,88.125,2,
slide,88.375,L,0.298
slide,89.000,L,0.316
slide,89.625,L,0.344
tap,89.750,2,
tap,90.125,2,
slide,90.250,L,0.436
tap,90.750,2,
hold,91.000,2,0.711
slide,92.250,L,0.100
slide,92.625,L,0.117
slide,93.000,L,0.117
slide,93.375,L,0.115
hold,93.625,2,2.715
tap,93.875,3,
tap,94.500,3,
tap,95.125,3,
tap,95.750,3,
slide,96.375,L,0.100
tap,96.375,3,
tap,98.125,3,
tap,98.125,2,
tap,98.375,2,
tap,98.500,3,
tap,98.750,3,
tap,98.750,2,
hold,99.250,1,0.182
tap,99.375,3,
tap,99.625,1,
hold,99.875,1,0.180
tap,100.000,3,
tap,100.250,2,
tap,100.625,4,
tap,100.875,1,
hold,101.000,3,0.179
hold,101.250,2,0.201
hold,101.625,4,0.216
hold,101.875,1,0.215
tap,101.875,3,
hold,102.250,4,0.181
hold,102.500,2,0.184
hold,102.875,3,0.186
hold,103.250,2,0.186
tap,103.500,3,
hold,103.625,4,0.168
hold,103.875,2,0.197
tap,104.000,1,
hold,104.250,4,0.198
tap,104.375,3,
