t+pazolite - Dogbite
BPM,120.00
note_type,time,lane,duration
slide,4.375,L,1.836
slide,6.500,R,2.241
slide,8.875,R,2.021
hold,11.250,1,2.384
hold,13.875,4,2.192
hold,17.500,1,3.419
tap,21.500,1,
tap,21.875,1,
tap,22.250,1,
tap,22.500,1,
hold,24.375,4,0.180
tap,25.500,4,
tap,26.500,1,
tap,27.125,2,
tap,27.750,3,
tap,28.625,1,
hold,29.250,2,0.165
tap,29.875,3,
hold,31.000,2,2.267
hold,33.500,1,2.323
tap,35.625,3,
tap,36.375,4,
tap,37.250,2,
hold,38.500,1,0.683
hold,39.625,1,1.079
tap,41.000,3,
tap,42.125,3,
tap,43.125,3,
hold,44.000,2,0.164
hold,45.000,2,0.165
tap,45.875,1,
tap,46.500,4,
hold,47.125,1,0.151
tap,47.625,3,
tap,48.250,2,
hold,48.625,3,0.164
tap,49.250,3,
tap,49.750,1,
tap,50.125,4,
tap,50.625,2,
tap,51.375,1,
tap,51.375,4,
tap,52.000,1,
tap,52.000,4,
tap,52.625,1,
tap,52.625,4,
tap,53.875,3,
hold,53.875,2,0.168
hold,54.500,2,0.201
tap,54.500,3,
hold,55.125,3,0.197
hold,55.750,4,0.616
hold,56.875,1,0.896
tap,58.125,4,
hold,58.375,1,0.164
hold,58.750,3,0.164
tap,59.750,2,
tap,60.375,2,
slide,60.625,L,3.476
hold,65.000,1,0.165
tap,65.625,1,
tap,66.125,3,
hold,66.750,2,0.152
hold,67.375,1,0.168
tap,68.000,3,
tap,68.625,3,
tap,69.250,3,
hold,69.875,2,0.180
hold,70.500,4,2.732
tap,71.625,1,
tap,72.875,1,
hold,74.125,1,5.664
tap,75.375,3,
tap,76.625,3,
tap,77.875,2,
tap,79.000,2,
hold,80.375,1,2.304
hold,80.375,4,2.323
hold,82.750,4,2.182
hold,82.750,1,2.182
hold,85.250,3,0.180
tap,85.875,2,
hold,86.375,3,1.537
tap,87.625,1,
hold,88.250,1,0.979
hold,89.000,3,0.151
tap,90.125,2,
tap,90.750,2,
tap,91.500,2,
hold,92.000,2,0.182
hold,92.625,1,2.124
tap,94.375,3,
tap,95.125,2,
tap,96.250,2,
tap,97.500,4,
tap,98.750,1,
hold,99.125,3,0.150
tap,99.375,2,
tap,100.000,3,
hold,100.625,2,0.151
hold,101.250,3,0.150
hold,101.500,2,0.150
tap,101.875,3,
tap,102.125,1,
hold,102.375,1,0.166
hold,102.500,4,0.150
hold,103.125,1,0.183
hold,103.125,4,0.151
hold,103.750,1,0.214
hold,103.750,4,0.180
tap,104.375,3,
tap,104.875,2,
tap,105.500,1,
tap,106.125,2,
hold,106.625,4,0.151
hold,107.375,3,0.169
hold,107.625,1,0.166
tap,108.000,4,
tap,108.250,2,
tap,108.625,3,
tap,109.625,2,
hold,109.750,1,0.567
tap,111.375,1,
tap,111.750,4,
hold,112.625,3,0.214
tap,113.125,1,
tap,114.125,2,
tap,115.125,2,
tap,115.125,3,
tap,115.375,1,
tap,115.375,4,
tap,116.000,4,
tap,116.000,2,
tap,116.625,2,
tap,116.875,1,
hold,117.250,2,0.166
tap,117.250,4,
tap,117.875,2,
tap,118.125,2,
tap,118.375,3,
tap,118.750,4,
tap,118.750,2,
tap,119.125,4,
tap,119.250,1,
tap,119.375,4,
tap,119.500,1,
tap,119.750,3,
tap,120.625,3,
