t+pazolite - Dogbite
BPM,120.00
note_type,time,lane,duration
slide,1.750,R,2.044
slide,4.125,L,2.274
slide,7.250,R,1.589
slide,10.125,L,1.013
hold,11.375,1,2.257
hold,13.875,2,2.117
hold,16.125,4,2.326
hold,21.250,1,0.214
tap,21.625,2,
hold,21.875,2,0.163
hold,22.125,2,0.180
hold,22.500,2,0.169
hold,22.750,2,0.168
hold,23.125,4,0.188
tap,23.375,1,
hold,23.625,1,2.511
hold,24.000,3,0.150
hold,24.375,3,0.164
hold,24.500,4,0.162
hold,24.625,3,0.167
hold,24.875,3,0.165
tap,25.250,3,
tap,25.625,3,
hold,25.875,3,0.164
hold,26.500,2,0.182
tap,26.500,3,
hold,26.875,2,0.165
hold,27.125,4,0.151
hold,27.375,1,0.199
hold,27.750,3,0.182
hold,28.000,2,0.166
hold,28.375,4,0.164
tap,28.625,1,
hold,28.875,1,0.168
hold,29.250,1,0.151
hold,29.625,3,0.166
hold,29.875,2,0.180
hold,30.250,3,0.165
hold,30.500,2,0.167
hold,30.750,1,2.647
tap,31.125,3,
tap,31.500,3,
tap,31.750,3,
tap,32.000,3,
tap,32.250,3,
tap,32.500,3,
hold,32.750,3,0.168
tap,33.125,3,
hold,33.625,3,2.367
tap,33.875,1,
hold,34.125,1,0.151
tap,34.375,1,
hold,34.750,1,0.936
hold,36.000,1,0.232
hold,36.375,4,0.202
hold,36.625,2,0.197
hold,36.875,3,0.179
hold,37.250,1,0.195
tap,37.625,1,
tap,37.875,1,
tap,38.000,3,
hold,38.125,1,0.165
tap,38.500,1,
hold,38.750,3,0.196
hold,39.125,2,0.180
hold,39.375,4,0.183
tap,39.625,1,
tap,39.750,2,
tap,40.000,2,
tap,40.000,1,
hold,40.250,4,0.199
tap,40.250,1,
tap,40.625,2,
tap,40.625,1,
hold,41.000,4,0.166
hold,41.250,2,0.167
hold,41.500,1,0.215
hold,41.875,3,0.199
hold,42.250,1,0.182
hold,42.500,3,0.167
tap,42.875,1,
hold,43.125,3,0.166
hold,43.125,4,0.151
hold,43.375,2,0.217
hold,43.750,4,0.214
hold,44.125,1,0.216
hold,44.750,1,0.230
tap,45.250,1,
tap,45.625,1,
tap,45.875,2,
tap,46.250,2,
tap,46.500,2,
hold,46.750,3,0.151
hold,46.875,2,0.166
tap,47.125,2,
hold,47.500,2,0.166
tap,47.750,1,
tap,47.875,4,
hold,48.000,3,0.199
tap,48.375,2,
hold,48.750,3,0.200
hold,49.000,1,0.179
tap,49.375,3,
